,angle_deg,freq_THz,trans
1278,0.0,220.0,0.7072
719,0.0,221.0,0.6878
107,0.0,222.0,0.6655
1409,0.0,223.0,0.6403
698,0.0,224.0,0.6121
631,0.0,225.0,0.5811
946,0.0,226.0,0.5475
1061,0.0,227.0,0.5117
512,0.0,228.0,0.4739
799,0.0,229.0,0.4347
1198,0.0,230.0,0.3946
421,0.0,231.0,0.3543
703,0.0,232.0,0.3142
1374,0.0,233.0,0.2751
390,0.0,234.0,0.2374
1034,0.0,235.0,0.2018
948,0.0,236.0,0.1687
256,0.0,237.0,0.1385
1383,0.0,238.0,0.1115
1108,0.0,239.0,0.0878
431,0.0,240.0,0.0677
376,0.0,241.0,0.051
260,0.0,242.0,0.0376
14,0.0,243.0,0.0274
571,0.0,244.0,0.02
613,0.0,245.0,0.0151
808,0.0,246.0,0.0123
184,0.0,247.0,0.0113
909,0.0,248.0,0.0115
1147,0.0,249.0,0.0127
677,0.0,250.0,0.0144
1010,0.0,251.0,0.0163
132,0.0,252.0,0.0181
1295,0.0,253.0,0.0196
54,0.0,254.0,0.0206
1001,0.0,255.0,0.0211
495,0.0,256.0,0.021
319,0.0,257.0,0.0203
206,0.0,258.0,0.019
1139,0.0,259.0,0.0173
990,0.0,260.0,0.0153
45,0.0,261.0,0.0131
1408,0.0,262.0,0.011
171,0.0,263.0,0.009
1154,0.0,264.0,0.0074
102,0.0,265.0,0.0063
1417,0.0,266.0,0.0059
789,0.0,267.0,0.0062
245,0.0,268.0,0.0075
763,0.0,269.0,0.0097
611,0.0,270.0,0.0129
2,0.0,271.0,0.0171
1064,0.0,272.0,0.0223
401,0.0,273.0,0.0284
1342,0.0,274.0,0.0354
1380,0.0,275.0,0.043
1082,0.0,276.0,0.0512
744,0.0,277.0,0.0597
122,0.0,278.0,0.0684
1006,0.0,279.0,0.0769
1385,0.0,280.0,0.0851
692,0.0,281.0,0.0926
286,0.0,282.0,0.0993
1084,0.0,283.0,0.1048
497,0.0,284.0,0.109
951,0.0,285.0,0.1117
189,0.0,286.0,0.1127
785,0.0,287.0,0.1121
1179,0.0,288.0,0.1098
906,0.0,289.0,0.1057
967,0.0,290.0,0.1002
492,0.9474,220.0,0.7072
747,0.9474,221.0,0.6877
83,0.9474,222.0,0.6653
277,0.9474,223.0,0.6401
89,0.9474,224.0,0.6119
515,0.9474,225.0,0.5809
1208,0.9474,226.0,0.5473
475,0.9474,227.0,0.5114
1375,0.9474,228.0,0.4737
558,0.9474,229.0,0.4346
925,0.9474,230.0,0.3945
211,0.9474,231.0,0.3542
1048,0.9474,232.0,0.3142
1091,0.9474,233.0,0.2751
259,0.9474,234.0,0.2374
1090,0.9474,235.0,0.2018
214,0.9474,236.0,0.1687
112,0.9474,237.0,0.1385
860,0.9474,238.0,0.1114
831,0.9474,239.0,0.0878
296,0.9474,240.0,0.0676
707,0.9474,241.0,0.0509
64,0.9474,242.0,0.0376
30,0.9474,243.0,0.0273
1230,0.9474,244.0,0.0199
1242,0.9474,245.0,0.0151
1279,0.9474,246.0,0.0123
542,0.9474,247.0,0.0113
1293,0.9474,248.0,0.0115
1412,0.9474,249.0,0.0127
733,0.9474,250.0,0.0144
185,0.9474,251.0,0.0163
1017,0.9474,252.0,0.0181
1059,0.9474,253.0,0.0196
147,0.9474,254.0,0.0206
232,0.9474,255.0,0.0211
29,0.9474,256.0,0.021
94,0.9474,257.0,0.0202
929,0.9474,258.0,0.019
720,0.9474,259.0,0.0173
1370,0.9474,260.0,0.0153
617,0.9474,261.0,0.0131
1113,0.9474,262.0,0.011
1340,0.9474,263.0,0.009
1203,0.9474,264.0,0.0074
1210,0.9474,265.0,0.0063
997,0.9474,266.0,0.0059
595,0.9474,267.0,0.0062
1095,0.9474,268.0,0.0075
1045,0.9474,269.0,0.0097
551,0.9474,270.0,0.0129
169,0.9474,271.0,0.0171
596,0.9474,272.0,0.0223
968,0.9474,273.0,0.0284
50,0.9474,274.0,0.0354
66,0.9474,275.0,0.0431
104,0.9474,276.0,0.0512
1384,0.9474,277.0,0.0598
809,0.9474,278.0,0.0684
275,0.9474,279.0,0.077
479,0.9474,280.0,0.0852
526,0.9474,281.0,0.0927
13,0.9474,282.0,0.0993
1395,0.9474,283.0,0.1049
953,0.9474,284.0,0.1091
1117,0.9474,285.0,0.1118
923,0.9474,286.0,0.1128
400,0.9474,287.0,0.1122
1173,0.9474,288.0,0.1098
715,0.9474,289.0,0.1058
937,0.9474,290.0,0.1003
79,1.8947,220.0,0.7071
165,1.8947,221.0,0.6876
150,1.8947,222.0,0.6652
1074,1.8947,223.0,0.6399
1189,1.8947,224.0,0.6116
1071,1.8947,225.0,0.5806
843,1.8947,226.0,0.547
73,1.8947,227.0,0.5112
